quarter,quarter_cnt,UCR_PART,Zip
2015Q2,22,"Part One",2129
2015Q2,35,"Part One",2134
2015Q2,43,"Part One",2116
2015Q2,41,"Part One",2122
2015Q2,79,"Part One",2118
2015Q2,23,"Part One",2111
2015Q2,15,"Part One",2132
2015Q2,30,"Part One",2131
2015Q2,48,"Part One",2124
2015Q2,15,"Part One",2136
2015Q2,28,"Part One",1125
2015Q2,24,"Part One",2120
2015Q2,8,"Part One",2210
2015Q2,6,"Part One",2141
2015Q2,55,"Part One",2119
2015Q2,12,"Part One",2108
2015Q2,56,"Part One",2127
2015Q2,23,"Part One",1210
2015Q2,31,"Part One",2117
2015Q2,27,"Part One",2115
2015Q2,17,"Part One",2109
2015Q2,24,"Part One",2135
2015Q2,11,"Part One",2113
2015Q2,14,"Part One",2215
2015Q2,45,"Part One",2130
2015Q2,29,"Part One",2125
2015Q2,9,"Part One",2128
2015Q2,9,"Part One",2110
2015Q2,53,"Part One",2121
2015Q2,3,"Part One",2205
2015Q2,45,"Part One",2126
2015Q2,7,"Part One",2201
2015Q2,4,"Part One",2171
2015Q2,18,"Part One",2150
2015Q2,6,"Part One",2152
2015Q2,35,"Part One",2199
2015Q2,2,"Part One",2151
2015Q2,14,"Part One",2114
2015Q2,4,"Part One",2186
2015Q2,5,"Part One",2026
2015Q2,10,"Part One",2284
2015Q2,1,"Part One",2445
2015Q2,7,"Part One",2137
2015Q2,5,"Part One",2203
2015Q2,4,"Part One",2222
2015Q2,1,"Part One",2145
2015Q2,1,"Part One",2435
2015Q2,5,"Part One",2107
2015Q3,99,"Part One",2132
2015Q3,33,"Part One",2284
2015Q3,13,"Part One",2107
2015Q3,272,"Part One",2119
2015Q3,219,"Part One",2134
2015Q3,171,"Part One",2131
2015Q3,405,"Part One",2118
2015Q3,197,"Part One",2115
2015Q3,317,"Part One",2130
2015Q3,231,"Part One",2126
2015Q3,102,"Part One",2129
2015Q3,26,"Part One",2141
2015Q3,157,"Part One",2199
2015Q3,144,"Part One",2150
2015Q3,224,"Part One",2127
2015Q3,58,"Part One",2137
2015Q3,230,"Part One",2116
2015Q3,159,"Part One",2135
2015Q3,119,"Part One",2111
2015Q3,214,"Part One",2122
2015Q3,36,"Part One",2186
2015Q3,166,"Part One",2110
2015Q3,11,"Part One",2435
2015Q3,59,"Part One",2128
2015Q3,122,"Part One",1210
2015Q3,131,"Part One",2109
2015Q3,168,"Part One",2120
2015Q3,397,"Part One",2121
2015Q3,19,"Part One",2203
2015Q3,91,"Part One",2136
2015Q3,105,"Part One",1125
2015Q3,58,"Part One",2108
2015Q3,49,"Part One",2210
2015Q3,2,"Part One",2133
2015Q3,28,"Part One",2222
2015Q3,121,"Part One",2215
2015Q3,41,"Part One",2113
2015Q3,65,"Part One",2114
2015Q3,21,"Part One",2171
2015Q3,162,"Part One",2125
2015Q3,110,"Part One",2117
2015Q3,204,"Part One",2124
2015Q3,26,"Part One",2445
2015Q3,38,"Part One",2201
2015Q3,21,"Part One",2152
2015Q3,19,"Part One",2026
2015Q3,15,"Part One",2205
2015Q3,4,"Part One",2145
2015Q3,3,"Part One",2151
2015Q3,1,"Part One",2446
2015Q4,250,"Part One",2116
2015Q4,121,"Part One",1210
2015Q4,128,"Part One",2111
2015Q4,205,"Part One",2124
2015Q4,73,"Part One",2137
2015Q4,115,"Part One",2109
2015Q4,156,"Part One",2122
2015Q4,83,"Part One",2136
2015Q4,383,"Part One",2121
2015Q4,193,"Part One",2115
2015Q4,80,"Part One",2215
2015Q4,131,"Part One",2135
2015Q4,128,"Part One",2120
2015Q4,152,"Part One",2131
2015Q4,107,"Part One",1125
2015Q4,99,"Part One",2150
2015Q4,130,"Part One",2125
2015Q4,142,"Part One",2134
2015Q4,73,"Part One",2132
2015Q4,235,"Part One",2119
2015Q4,212,"Part One",2199
2015Q4,12,"Part One",2141
2015Q4,396,"Part One",2130
2015Q4,165,"Part One",2110
2015Q4,379,"Part One",2118
2015Q4,168,"Part One",2127
2015Q4,64,"Part One",2129
2015Q4,227,"Part One",2126
2015Q4,12,"Part One",2107
2015Q4,33,"Part One",2128
2015Q4,37,"Part One",2445
2015Q4,30,"Part One",2210
2015Q4,68,"Part One",2114
2015Q4,24,"Part One",2284
2015Q4,42,"Part One",2201
2015Q4,2,"Part One",2145
2015Q4,35,"Part One",2222
2015Q4,104,"Part One",2117
2015Q4,17,"Part One",2171
2015Q4,7,"Part One",2205
2015Q4,55,"Part One",2108
2015Q4,17,"Part One",2152
2015Q4,27,"Part One",2113
2015Q4,17,"Part One",2435
2015Q4,32,"Part One",2186
2015Q4,8,"Part One",2203
2015Q4,3,"Part One",2151
2015Q4,5,"Part One",2446
2015Q4,18,"Part One",2026
2016Q1,51,"Part One",2129
2016Q1,27,"Part One",2284
2016Q1,166,"Part One",2122
2016Q1,28,"Part One",2113
2016Q1,85,"Part One",2117
2016Q1,149,"Part One",2135
2016Q1,141,"Part One",2127
2016Q1,76,"Part One",2136
2016Q1,127,"Part One",2110
2016Q1,282,"Part One",2118
2016Q1,169,"Part One",2126
2016Q1,149,"Part One",2124
2016Q1,62,"Part One",2150
2016Q1,249,"Part One",2121
2016Q1,66,"Part One",2215
2016Q1,318,"Part One",2130
2016Q1,180,"Part One",2119
2016Q1,115,"Part One",2120
2016Q1,43,"Part One",2132
2016Q1,126,"Part One",2134
2016Q1,10,"Part One",2141
2016Q1,26,"Part One",2210
2016Q1,152,"Part One",2125
2016Q1,48,"Part One",2114
2016Q1,72,"Part One",1125
2016Q1,199,"Part One",2116
2016Q1,228,"Part One",2199
2016Q1,8,"Part One",2107
2016Q1,20,"Part One",2201
2016Q1,63,"Part One",2137
2016Q1,122,"Part One",2131
2016Q1,86,"Part One",1210
2016Q1,139,"Part One",2115
2016Q1,95,"Part One",2109
2016Q1,8,"Part One",2203
2016Q1,17,"Part One",2445
2016Q1,44,"Part One",2108
2016Q1,93,"Part One",2111
2016Q1,35,"Part One",2222
2016Q1,19,"Part One",2171
2016Q1,1,"Part One",2145
2016Q1,9,"Part One",2026
2016Q1,14,"Part One",2435
2016Q1,2,"Part One",2205
2016Q1,10,"Part One",2446
2016Q1,25,"Part One",2128
2016Q1,12,"Part One",2186
2016Q1,9,"Part One",2152
2016Q1,3,"Part One",2151
2016Q2,30,"Part One",2128
2016Q2,39,"Part One",2201
2016Q2,132,"Part One",2127
2016Q2,276,"Part One",2118
2016Q2,90,"Part One",2136
2016Q2,137,"Part One",2131
2016Q2,321,"Part One",2121
2016Q2,21,"Part One",2203
2016Q2,108,"Part One",2109
2016Q2,96,"Part One",1210
2016Q2,180,"Part One",2116
2016Q2,69,"Part One",1125
2016Q2,108,"Part One",2135
2016Q2,11,"Part One",2435
2016Q2,123,"Part One",2120
2016Q2,71,"Part One",2117
2016Q2,32,"Part One",2445
2016Q2,210,"Part One",2122
2016Q2,161,"Part One",2134
2016Q2,97,"Part One",2129
2016Q2,156,"Part One",2199
2016Q2,257,"Part One",2126
2016Q2,195,"Part One",2125
2016Q2,153,"Part One",2115
2016Q2,202,"Part One",2119
2016Q2,67,"Part One",2132
2016Q2,346,"Part One",2130
2016Q2,66,"Part One",2108
2016Q2,3,"Part One",2151
2016Q2,124,"Part One",2110
2016Q2,64,"Part One",2114
2016Q2,167,"Part One",2124
2016Q2,90,"Part One",2215
2016Q2,16,"Part One",2107
2016Q2,32,"Part One",2113
2016Q2,29,"Part One",2186
2016Q2,110,"Part One",2150
2016Q2,21,"Part One",2284
2016Q2,30,"Part One",2210
2016Q2,40,"Part One",2137
2016Q2,99,"Part One",2111
2016Q2,12,"Part One",2026
2016Q2,7,"Part One",2205
2016Q2,13,"Part One",2222
2016Q2,35,"Part One",2171
2016Q2,8,"Part One",2145
2016Q2,17,"Part One",2152
2016Q2,7,"Part One",2141
2016Q2,2,"Part One",2446
2016Q3,136,"Part One",2131
2016Q3,29,"Part One",2222
2016Q3,166,"Part One",2124
2016Q3,122,"Part One",2127
2016Q3,362,"Part One",2130
2016Q3,180,"Part One",2126
2016Q3,30,"Part One",2203
2016Q3,184,"Part One",2199
2016Q3,203,"Part One",2116
2016Q3,41,"Part One",2210
2016Q3,117,"Part One",2135
2016Q3,18,"Part One",2141
2016Q3,322,"Part One",2118
2016Q3,142,"Part One",2134
2016Q3,44,"Part One",2132
2016Q3,309,"Part One",2121
2016Q3,78,"Part One",2129
2016Q3,152,"Part One",2125
2016Q3,122,"Part One",2109
2016Q3,77,"Part One",1125
2016Q3,109,"Part One",1210
2016Q3,3,"Part One",2446
2016Q3,115,"Part One",2111
2016Q3,124,"Part One",2120
2016Q3,70,"Part One",2137
2016Q3,179,"Part One",2122
2016Q3,161,"Part One",2115
2016Q3,24,"Part One",2284
2016Q3,44,"Part One",2113
2016Q3,55,"Part One",2108
2016Q3,5,"Part One",2205
2016Q3,66,"Part One",2136
2016Q3,156,"Part One",2110
2016Q3,23,"Part One",2128
2016Q3,100,"Part One",2117
2016Q3,55,"Part One",2114
2016Q3,94,"Part One",2150
2016Q3,244,"Part One",2119
2016Q3,20,"Part One",2171
2016Q3,75,"Part One",2215
2016Q3,26,"Part One",2201
2016Q3,13,"Part One",2435
2016Q3,32,"Part One",2186
2016Q3,14,"Part One",2026
2016Q3,17,"Part One",2445
2016Q3,10,"Part One",2152
2016Q3,7,"Part One",2107
2016Q3,5,"Part One",2151
2016Q3,1,"Part One",2133
2016Q4,175,"Part One",2127
2016Q4,29,"Part One",2445
2016Q4,63,"Part One",2132
2016Q4,42,"Part One",2137
2016Q4,102,"Part One",1125
2016Q4,119,"Part One",2135
2016Q4,126,"Part One",2131
2016Q4,80,"Part One",2150
2016Q4,321,"Part One",2121
2016Q4,218,"Part One",2122
2016Q4,104,"Part One",2120
2016Q4,22,"Part One",2186
2016Q4,199,"Part One",2126
2016Q4,171,"Part One",2134
2016Q4,149,"Part One",2110
2016Q4,161,"Part One",2124
2016Q4,4,"Part One",2151
2016Q4,27,"Part One",2113
2016Q4,140,"Part One",2111
2016Q4,214,"Part One",2116
2016Q4,300,"Part One",2130
2016Q4,223,"Part One",2119
2016Q4,36,"Part One",2128
2016Q4,12,"Part One",2026
2016Q4,24,"Part One",2203
2016Q4,198,"Part One",2199
2016Q4,29,"Part One",2222
2016Q4,165,"Part One",2125
2016Q4,39,"Part One",2284
2016Q4,305,"Part One",2118
2016Q4,137,"Part One",2109
2016Q4,59,"Part One",2215
2016Q4,117,"Part One",2115
2016Q4,112,"Part One",1210
2016Q4,57,"Part One",2136
2016Q4,52,"Part One",2108
2016Q4,87,"Part One",2117
2016Q4,10,"Part One",2435
2016Q4,57,"Part One",2129
2016Q4,34,"Part One",2114
2016Q4,29,"Part One",2201
2016Q4,21,"Part One",2210
2016Q4,16,"Part One",2141
2016Q4,7,"Part One",2152
2016Q4,4,"Part One",2446
2016Q4,3,"Part One",2145
2016Q4,18,"Part One",2171
2016Q4,8,"Part One",2205
2016Q4,5,"Part One",2107
2017Q1,60,"Part One",2136
2017Q1,79,"Part One",2135
2017Q1,84,"Part One",2120
2017Q1,92,"Part One",2131
2017Q1,101,"Part One",2109
2017Q1,39,"Part One",2114
2017Q1,57,"Part One",2108
2017Q1,81,"Part One",2150
2017Q1,26,"Part One",2210
2017Q1,150,"Part One",2124
2017Q1,77,"Part One",2115
2017Q1,198,"Part One",2122
2017Q1,119,"Part One",2125
2017Q1,18,"Part One",2445
2017Q1,128,"Part One",2110
2017Q1,278,"Part One",2118
2017Q1,3,"Part One",2151
2017Q1,11,"Part One",2152
2017Q1,186,"Part One",2126
2017Q1,58,"Part One",2132
2017Q1,190,"Part One",2116
2017Q1,128,"Part One",2127
2017Q1,206,"Part One",2130
2017Q1,89,"Part One",1210
2017Q1,122,"Part One",2134
2017Q1,184,"Part One",2119
2017Q1,66,"Part One",2215
2017Q1,57,"Part One",2117
2017Q1,18,"Part One",2141
2017Q1,79,"Part One",2129
2017Q1,13,"Part One",2026
2017Q1,8,"Part One",2435
2017Q1,86,"Part One",1125
2017Q1,103,"Part One",2111
2017Q1,276,"Part One",2121
2017Q1,28,"Part One",2113
2017Q1,21,"Part One",2186
2017Q1,176,"Part One",2199
2017Q1,14,"Part One",2203
2017Q1,27,"Part One",2201
2017Q1,31,"Part One",2284
2017Q1,28,"Part One",2222
2017Q1,12,"Part One",2107
2017Q1,27,"Part One",2128
2017Q1,53,"Part One",2137
2017Q1,5,"Part One",2205
2017Q1,3,"Part One",2145
2017Q1,15,"Part One",2171
2017Q1,1,"Part One",2446
2017Q2,114,"Part One",2135
2017Q2,51,"Part One",2108
2017Q2,28,"Part One",2284
2017Q2,103,"Part One",2109
2017Q2,322,"Part One",2118
2017Q2,273,"Part One",2121
2017Q2,67,"Part One",2132
2017Q2,94,"Part One",1125
2017Q2,28,"Part One",2222
2017Q2,128,"Part One",2125
2017Q2,172,"Part One",2127
2017Q2,160,"Part One",2124
2017Q2,127,"Part One",2115
2017Q2,173,"Part One",2126
2017Q2,190,"Part One",2122
2017Q2,6,"Part One",2151
2017Q2,194,"Part One",2199
2017Q2,150,"Part One",2131
2017Q2,18,"Part One",2203
2017Q2,148,"Part One",2110
2017Q2,17,"Part One",2107
2017Q2,60,"Part One",2136
2017Q2,28,"Part One",2141
2017Q2,45,"Part One",2114
2017Q2,111,"Part One",2120
2017Q2,223,"Part One",2130
2017Q2,223,"Part One",2119
2017Q2,74,"Part One",2129
2017Q2,53,"Part One",2137
2017Q2,196,"Part One",2116
2017Q2,32,"Part One",2201
2017Q2,85,"Part One",1210
2017Q2,30,"Part One",2210
2017Q2,24,"Part One",2128
2017Q2,18,"Part One",2171
2017Q2,146,"Part One",2134
2017Q2,92,"Part One",2111
2017Q2,21,"Part One",2445
2017Q2,49,"Part One",2150
2017Q2,20,"Part One",2186
2017Q2,25,"Part One",2113
2017Q2,70,"Part One",2215
2017Q2,73,"Part One",2117
2017Q2,16,"Part One",2152
2017Q2,9,"Part One",2026
2017Q2,13,"Part One",2435
2017Q2,5,"Part One",2205
2017Q2,2,"Part One",2145
2017Q2,1,"Part One",2446
2017Q3,214,"Part One",2126
2017Q3,106,"Part One",1210
2017Q3,157,"Part One",2125
2017Q3,138,"Part One",2120
2017Q3,156,"Part One",2131
2017Q3,91,"Part One",2117
2017Q3,239,"Part One",2119
2017Q3,315,"Part One",2121
2017Q3,95,"Part One",2129
2017Q3,57,"Part One",2137
2017Q3,148,"Part One",2134
2017Q3,112,"Part One",2135
2017Q3,8,"Part One",2151
2017Q3,360,"Part One",2118
2017Q3,187,"Part One",2122
2017Q3,120,"Part One",1125
2017Q3,34,"Part One",2201
2017Q3,60,"Part One",2132
2017Q3,190,"Part One",2116
2017Q3,146,"Part One",2115
2017Q3,188,"Part One",2199
2017Q3,169,"Part One",2110
2017Q3,166,"Part One",2127
2017Q3,84,"Part One",2150
2017Q3,23,"Part One",2026
2017Q3,315,"Part One",2130
2017Q3,10,"Part One",2435
2017Q3,77,"Part One",2215
2017Q3,27,"Part One",2141
2017Q3,152,"Part One",2109
2017Q3,107,"Part One",2111
2017Q3,169,"Part One",2124
2017Q3,29,"Part One",2222
2017Q3,12,"Part One",2107
2017Q3,36,"Part One",2284
2017Q3,74,"Part One",2114
2017Q3,75,"Part One",2136
2017Q3,16,"Part One",2152
2017Q3,39,"Part One",2113
2017Q3,25,"Part One",2186
2017Q3,25,"Part One",2203
2017Q3,60,"Part One",2108
2017Q3,23,"Part One",2128
2017Q3,25,"Part One",2445
2017Q3,47,"Part One",2210
2017Q3,10,"Part One",2205
2017Q3,12,"Part One",2171
2017Q3,2,"Part One",2446
2017Q3,1,"Part One",2133
2017Q3,1,"Part One",2145
2017Q4,107,"Part One",2135
2017Q4,54,"Part One",2132
2017Q4,259,"Part One",2130
2017Q4,79,"Part One",2117
2017Q4,89,"Part One",1125
2017Q4,289,"Part One",2118
2017Q4,104,"Part One",2115
2017Q4,30,"Part One",2222
2017Q4,196,"Part One",2122
2017Q4,52,"Part One",2215
2017Q4,161,"Part One",2119
2017Q4,67,"Part One",2136
2017Q4,136,"Part One",2127
2017Q4,65,"Part One",2150
2017Q4,38,"Part One",2210
2017Q4,159,"Part One",2125
2017Q4,307,"Part One",2121
2017Q4,132,"Part One",2109
2017Q4,146,"Part One",2131
2017Q4,99,"Part One",1210
2017Q4,89,"Part One",2120
2017Q4,139,"Part One",2134
2017Q4,175,"Part One",2116
2017Q4,78,"Part One",2129
2017Q4,104,"Part One",2111
2017Q4,141,"Part One",2110
2017Q4,43,"Part One",2137
2017Q4,31,"Part One",2113
2017Q4,34,"Part One",2445
2017Q4,1,"Part One",2133
2017Q4,33,"Part One",2128
2017Q4,199,"Part One",2126
2017Q4,46,"Part One",2114
2017Q4,159,"Part One",2124
2017Q4,225,"Part One",2199
2017Q4,18,"Part One",2186
2017Q4,17,"Part One",2141
2017Q4,16,"Part One",2107
2017Q4,25,"Part One",2201
2017Q4,19,"Part One",2203
2017Q4,29,"Part One",2284
2017Q4,9,"Part One",2152
2017Q4,12,"Part One",2026
2017Q4,9,"Part One",2171
2017Q4,36,"Part One",2108
2017Q4,2,"Part One",2151
2017Q4,5,"Part One",2435
2017Q4,2,"Part One",2145
2017Q4,1,"Part One",2446
2017Q4,3,"Part One",2205
2018Q1,62,"Part One",2215
2018Q1,137,"Part One",2110
2018Q1,134,"Part One",2122
2018Q1,62,"Part One",2129
2018Q1,162,"Part One",2119
2018Q1,279,"Part One",2121
2018Q1,77,"Part One",2117
2018Q1,9,"Part One",2435
2018Q1,32,"Part One",2128
2018Q1,34,"Part One",2222
2018Q1,87,"Part One",2109
2018Q1,117,"Part One",2127
2018Q1,94,"Part One",2135
2018Q1,17,"Part One",2203
2018Q1,106,"Part One",2115
2018Q1,53,"Part One",2132
2018Q1,2,"Part One",2446
2018Q1,50,"Part One",2136
2018Q1,255,"Part One",2118
2018Q1,81,"Part One",1125
2018Q1,118,"Part One",2134
2018Q1,41,"Part One",2210
2018Q1,11,"Part One",2107
2018Q1,73,"Part One",2120
2018Q1,47,"Part One",2137
2018Q1,93,"Part One",2150
2018Q1,101,"Part One",2124
2018Q1,154,"Part One",2116
2018Q1,105,"Part One",2125
2018Q1,12,"Part One",2171
2018Q1,85,"Part One",1210
2018Q1,111,"Part One",2131
2018Q1,22,"Part One",2201
2018Q1,29,"Part One",2108
2018Q1,227,"Part One",2130
2018Q1,33,"Part One",2284
2018Q1,144,"Part One",2126
2018Q1,173,"Part One",2199
2018Q1,78,"Part One",2111
2018Q1,35,"Part One",2113
2018Q1,18,"Part One",2445
2018Q1,20,"Part One",2186
2018Q1,44,"Part One",2114
2018Q1,2,"Part One",2205
2018Q1,13,"Part One",2152
2018Q1,9,"Part One",2026
2018Q1,5,"Part One",2151
2018Q1,15,"Part One",2141
2018Q1,3,"Part One",2133
2018Q1,1,"Part One",2145
2018Q2,106,"Part One",1210
2018Q2,274,"Part One",2130
2018Q2,196,"Part One",2127
2018Q2,158,"Part One",2115
2018Q2,68,"Part One",2129
2018Q2,196,"Part One",2126
2018Q2,169,"Part One",2124
2018Q2,304,"Part One",2121
2018Q2,128,"Part One",2110
2018Q2,15,"Part One",2152
2018Q2,87,"Part One",2215
2018Q2,38,"Part One",2113
2018Q2,211,"Part One",2122
2018Q2,7,"Part One",2151
2018Q2,40,"Part One",2132
2018Q2,128,"Part One",2125
2018Q2,12,"Part One",2141
2018Q2,166,"Part One",2199
2018Q2,22,"Part One",2186
2018Q2,346,"Part One",2118
2018Q2,90,"Part One",2150
2018Q2,105,"Part One",2131
2018Q2,155,"Part One",2116
2018Q2,219,"Part One",2119
2018Q2,111,"Part One",2134
2018Q2,96,"Part One",2135
2018Q2,20,"Part One",2026
2018Q2,75,"Part One",2117
2018Q2,48,"Part One",2137
2018Q2,58,"Part One",2136
2018Q2,113,"Part One",1125
2018Q2,118,"Part One",2109
2018Q2,22,"Part One",2203
2018Q2,23,"Part One",2201
2018Q2,33,"Part One",2210
2018Q2,22,"Part One",2222
2018Q2,85,"Part One",2120
2018Q2,96,"Part One",2111
2018Q2,43,"Part One",2108
2018Q2,7,"Part One",2435
2018Q2,45,"Part One",2114
2018Q2,18,"Part One",2445
2018Q2,9,"Part One",2107
2018Q2,30,"Part One",2284
2018Q2,38,"Part One",2128
2018Q2,20,"Part One",2171
2018Q2,5,"Part One",2205
2018Q2,3,"Part One",2145
2018Q2,1,"Part One",2133
2018Q2,2,"Part One",2446
2018Q3,190,"Part One",2127
2018Q3,33,"Part One",2201
2018Q3,114,"Part One",1210
2018Q3,143,"Part One",2110
2018Q3,348,"Part One",2118
2018Q3,112,"Part One",1125
2018Q3,111,"Part One",2135
2018Q3,52,"Part One",2210
2018Q3,93,"Part One",2215
2018Q3,15,"Part One",2026
2018Q3,231,"Part One",2130
2018Q3,134,"Part One",2124
2018Q3,191,"Part One",2109
2018Q3,88,"Part One",2111
2018Q3,6,"Part One",2151
2018Q3,213,"Part One",2126
2018Q3,116,"Part One",2117
2018Q3,31,"Part One",2222
2018Q3,176,"Part One",2116
2018Q3,210,"Part One",2122
2018Q3,169,"Part One",2199
2018Q3,156,"Part One",2115
2018Q3,33,"Part One",2445
2018Q3,236,"Part One",2119
2018Q3,59,"Part One",2129
2018Q3,78,"Part One",2150
2018Q3,121,"Part One",2134
2018Q3,284,"Part One",2121
2018Q3,65,"Part One",2114
2018Q3,39,"Part One",2284
2018Q3,126,"Part One",2131
2018Q3,45,"Part One",2113
2018Q3,81,"Part One",2120
2018Q3,49,"Part One",2108
2018Q3,40,"Part One",2132
2018Q3,9,"Part One",2152
2018Q3,9,"Part One",2171
2018Q3,15,"Part One",2141
2018Q3,10,"Part One",2107
2018Q3,163,"Part One",2125
2018Q3,36,"Part One",2128
2018Q3,61,"Part One",2136
2018Q3,23,"Part One",2186
2018Q3,20,"Part One",2203
2018Q3,40,"Part One",2137
2018Q3,9,"Part One",2205
2018Q3,13,"Part One",2435
2018Q3,1,"Part One",2145
2018Q3,2,"Part One",2446
2018Q3,1,"Part One",2133
2018Q4,2,"Part One",2201
2018Q4,5,"Part One",2130
2018Q4,4,"Part One",2199
2018Q4,10,"Part One",2119
2018Q4,2,"Part One",2186
2018Q4,6,"Part One",2127
2018Q4,2,"Part One",2114
2018Q4,8,"Part One",2118
2018Q4,8,"Part One",2121
2018Q4,2,"Part One",2109
2018Q4,10,"Part One",2126
2018Q4,2,"Part One",2150
2018Q4,8,"Part One",2110
2018Q4,2,"Part One",1210
2018Q4,2,"Part One",2284
2018Q4,4,"Part One",2125
2018Q4,2,"Part One",2210
2018Q4,1,"Part One",2203
2018Q4,3,"Part One",1125
2018Q4,5,"Part One",2116
2018Q4,2,"Part One",2135
2018Q4,9,"Part One",2124
2018Q4,2,"Part One",2115
2018Q4,1,"Part One",2222
2018Q4,1,"Part One",2129
2018Q4,1,"Part One",2132
2018Q4,1,"Part One",2113
2018Q4,1,"Part One",2117
2018Q4,1,"Part One",2128
2018Q4,1,"Part One",2026
2018Q4,3,"Part One",2122
2018Q4,3,"Part One",2134
2018Q4,1,"Part One",2131
2018Q4,1,"Part One",2137
2018Q4,1,"Part One",2108
2018Q4,1,"Part One",2120
